"işletme adı","instagram kullanıcı adı","telefon numarası","mail adresi","websitesi"
"SAPANCA LUME BUNGALOV","@sapancanukelumebungalow","+905303462136","",""
"SAPANCA VİLLAGGİO BUNGALOV","sapancavillaggiobungalov","05382796581","",""
"SAPANCA SAKURA BUNGALOV","@sakurabungalov","+905338165445","",""
"DARK SAPANCA","@darksapanca","+905324112020","",""
"SAPANCA NOGA KONAKLAMA","@sapancanogakonaklama","+905321679454","",""
"STAR LİFE SAPANCA","starlifesapanca","05058885255","",""
"ARNE HOUSES","@arnebungalov","+905054988607","",""
"VİSAL SAPANCA","visalsapanca","05324894154","",""
"SAPANCA YILDIZ BUNGALOV","@yldzbungalovsapanca","+905414817294","",""
"SAPANCA BUNGALOV","@sapancabungalov","+905380259990","",""
"SAPANCA ANEMOS KONAKLAMA","@sapancaanemoskonaklama","+905307663522","",""
"SAPANCA KURUÇEŞME DELUXE HOUSE","@sapancakurucesmedeluxe","+905362055954","",""
"KARAGÖL BUNGALOV","karagolbungalovs","05322523054","",""
"SİSORTİ SAPANCA","sisortisapancabungalov","05324091627","",""
"LUCAS SAPANCA BUNGALOV","@lucassapancabungalov","+905453545414","",""
"EFTELYA TİNY HOUSE","eftelya.tinyhouse","05324859985","",""
"MAVERA BUNGALOW SAPANCA","@sapancamaverabungalow","+902646060872","",""
"SAPANCA ERL TREE BUNGALOV","sapancaerltreebungalov","05335635783","",""
"ELİTE LİFE BUNGALOV  SAPANCA","elitelifebungalov","05398437629","",""
"ETNA BUNGALOV","@etnabungalov","+905333141554","",""
"SAPANCA MAVİŞ BUNGALOV","sapancamavisbungalov","05335547357","",""
"KRD BUNGALOV","@sapancakrdbungalov","+905444489496","",""
"SAPANCA SİNDOMAN BUNGALOV","sindoman_bungalov","05339696654","",""
"HİLL HOUSE SAPANCA","hillhousesapanca","05398323345","",""
"DAY LİGHT SAPANCA","daylightsapanca","05302467702","",""
"LOYA SAPANCA","@loyasapanca","+905451225454","",""
"SAPANCA TURUNCU BUNGALOV","@sapancaturuncubungalov","+905512370019","",""
"ÇEMİ BUNGALOV","@sapancacemibungalow","+905385137518","",""
"MOLEGİNZE DAĞ EVİ","moleginze.dagevi","05337678722","",""
"TOLSOO WOODEN HOUSE","@tolsoowoodenhouse","+905457903321","",""
"MİYOS BUNGALOV SAPANCA","miyosbungalov_sapanca","05442038982","",""
"SAPANCA NEFES BUNGALOW","@sapancanefesbungalow","+908503089574","",""
"ROUND HOUSE SAPANCA","@roundhousesapancaaa","+905364415373","",""
"SAPANCA Bİ NEFES BUNGALOV","@binefesbungalov","+905366153072","",""
"LOST PARADİSE DAĞ EVİ SAPANCA","lostparadisedagevi","05443545493","",""
"HAPPY HOME SAPANCA","@happyhomesapancaa","+905359537454","",""
"ZEHRA BUNGALOV","@zehrabungalov","+905395091300","",""
"BY DAMLA BUNGALOV","@damlabungalov","+905422687055","",""
"SAPANCA BİZİM KONAK","sapancabizimkonak","905344813242","",""
"ALPHA VİLLA SAPANCA","alphavillasapanca","05330259354","",""
"MARRAKECK BUNGALOV","@marrakechbungalowsapanca","+905302987054","",""
"SUE BUNGALOV SAPANCA","@suebungalovsapanca","+905339389854","",""
"SAPANCA BİBER BUNGALOV","sapancabiberbungalov","05322770739","",""
"SAPANCA FAVELA SUİT","sapancafavelasuit","05318849497","",""
"NİSH VADİ SAPANCA","nishvadi","05303499699","",""
"LİVOR BUNGALOV","livorbungalov","05366057353","",""
"THALES BUNGALOV SAPANCA","@bungalovthales","+905069135787","",""
"SAPANCA YAKAMOZ BUNGALOW","@sapancayakamozbungalow","+905544037169","",""
"MC SAPANCA","@mcsapanca","+905326765441","",""
"OHOİ BUNGALOV","@ohoibungalov","+905335826882","",""
"GREEN VALLEY BUNGALOV SAPANCA","@bungalovgreenvalley","+905497692114","",""
"TURKUAZ SAPANCA SUİT VİLLAS","turkuazsapanca","05334178454","",""
"ARF BUNGALOV","arfbungalow","05340409607","",""
"MAYAN BUNGALOWS","@mayanbungalows","+905073781470","",""
"SAPANCA KONAK İLMİYE","konakilmiye","05305451706","",""
"SAPANCA ALANÇA BUNGALOV","@sapancaalancabungalov","+905342378654","",""
"ZUCCA SAPANCA","@zuccasapanca","+905396175555","",""
"LAQA SAPANCA","@laqasapanca","+905455024154","",""
"ORMANTİ BUNGALOV","@ormanti_bungalov","+905392221682","",""
"GREEN LOVE SAPANCA BUNGALOW","@greenlovesapanca_","+905334784725","",""
"ÇATI SAPANCA VİLLA RESORT","catisapanca","05010827070","",""
"SU SAPANCA","@susapanca","+905012545478","",""
"ELEGANT HOUSE","@eleganthousesapanca","+905324555493","",""
"DAĞALTI BUNGALOV  DAĞALTI SUİT BUNGALOV","sapancadagaltisuite","05339502473","",""
"SAPANCA GÖLGEM BUNGALOV","sapancagolgembungalov","05396474177","",""
"DOA BUTİK EVLER","doabutikevler","05385875794","",""
"DOSA VİLLA SAPANCA","dosavillasapanca","05326762751","",""
"AYAN BUNGALOV SAPANCA  SAPANCA VİLLA AYAN","ayanbungalovsapanca","05397134801","",""
"MK BUNGALOV SAPANCA","@mk_bungalov","+905525415454","",""
"BİCA SUİT","sapancabicasuit","05384975054","",""
"TILSIM DAĞ EVİ","@tilsimdagevi","+905366675280","",""
"MG SUİT BUNGALOV","mgsuitsapanca","05527823254","",""
"HILUX BUNGALOV","@hilux_bungalov","+905353587054","",""
"SAPANCA LORESİMA BUNGALOV","sapancaloresimabungalov","05468963878","",""
"SAPANCA NAZLI BAHÇEM BUNGALOW","@sapancanazlibahcembungalow","+905516918031","",""
"SAPANCA MERT BUNGALOV","@sapancamertbungalov","+905323151277","",""
"SAPANCA ASTERİA BUNGALOV","sapancaasteria","05304166054","",""
"SAPANCA MASAL EVLERİ","@sapancamasalevleri","+905362884601","",""
"SAPANCA ELYSİAN HOUSES","elysianhouses","05415925454","",""
"SAPANCA ASPİRAS HOUSE","sapancaaspirashouse","05521766437","",""
"MANZARAM SAPANCA BUNGALOV","manzaramsapancaa","05529426171","",""
"CASANUEZ SAPANCA","@casanuezsapanca","+905418856190","",""
"LEMOON HOUSE & BUNGALOV","@sapancalemoonhouse","+905072503184","",""
"BİBAHA BUNGALOW SAPANCA","bibahabungalowsapanca","905312724454","",""
"RAST SAPANCA","@rastsapanca","","",""
"ENOVİS BUNGALOV SAPANCA","enovisbungalovsapanca","05322643899","",""
"WHİTE STONE BUNGALOV SAPANCA","whitestonebungalovsapanca","05071731491","",""
"LOMİ SAPANCA","@lomi_sapanca","+905431566654","",""
"SAPANCA YURA BUNGALOV","@sapancayurabungalov","+905516870485","",""
"VOPİ BUNGALOV","@vopibungalov","+905323945070","",""
"CK SAPANCA","@ck.sapanca","+905396072054","",""
"MABEYN SAPANCA BUNGALOV","@mabeynsapanca","+905396425315","",""
"MELEGONA BUNGALOV","@melegonabungalovsapanca_","+905412272552","",""
"MUCİZE BUNGALOV","mucizebungalov","05454710328","",""
"SAPANCA BUNGALOVCA","@sapancabungalovca","+905543244400","",""
"ARMONİA BUNGALOV","armoniabungalows","05335684154","",""
"GÜMÜŞ VADİ BUNGALOV","sapancagumusvadibungalov","05425477075","",""
"SAPANCA SNS KUZEY BUNGALOV","@sapancabungalovsns","+905326632443","",""
